"Frequency Hz","Response db"
10.0,-1.986027
19.99,-1.553617
29.98,-0.899379
39.97,-1.200556
49.96,-1.223465
59.95,-0.945339
69.94,-1.093436
79.93,-1.100615
89.92,-0.932949
99.91,-1.053553
109.9,-1.043592
119.89,-0.927827
129.88,-1.025634
139.87,-0.986967
149.86,-0.91562
159.85,-1.004189
169.84,-0.943244
179.83,-0.912653
189.82,-0.979183
199.81,-0.905911
209.8,-0.922367
219.79,-0.963335
229.78,-0.89956
239.77,-0.952945
249.76,-0.95738
259.75,-0.927498
269.74,-0.998384
279.73,-0.970187
289.72,-0.986218
299.71,-1.029617
309.7,-0.988112
319.69,-1.035476
329.68,-1.023757
339.67,-1.00265
349.66,-1.03664
359.65,-0.986812
369.64,-1.009779
379.63,-1.004003
389.62,-0.982
399.61,-1.023591
409.6,-0.996374
419.59,-1.035724
429.58,-1.045538
439.57,-1.042977
449.56,-1.08089
459.55,-1.049415
469.54,-1.078268
479.53,-1.05663
489.52,-1.052853
499.51,-1.065867
509.5,-1.04533
519.49,-1.088108
529.48,-1.074195
539.47,-1.110571
549.46,-1.110212
559.45,-1.113752
569.44,-1.125162
579.43,-1.099563
589.42,-1.123413
599.41,-1.100686
609.4,-1.137589
619.39,-1.134486
629.38,-1.160999
639.37,-1.16574
649.36,-1.164093
659.35,-1.172202
669.34,-1.154381
679.33,-1.17977
689.32,-1.170896
699.31,-1.21169
709.3,-1.202438
719.29,-1.228803
729.28,-1.208235
739.27,-1.222544
749.26,-1.216102
759.25,-1.238536
769.24,-1.250593
779.23,-1.266411
789.22,-1.270863
799.21,-1.266216
809.2,-1.273006
819.19,-1.277665
829.18,-1.304193
839.17,-1.309937
849.16,-1.325989
859.15,-1.314352
869.14,-1.328127
879.13,-1.328277
889.12,-1.358047
899.11,-1.361714
909.1,-1.377161
919.09,-1.366374
929.08,-1.38171
939.07,-1.389912
949.06,-1.416441
959.05,-1.419383
969.04,-1.424403
979.03,-1.425319
989.02,-1.441204
999.01,-1.461552
1000.0,-1.461448
1009.0,-1.469258
1018.99,-1.47721
1028.98,-1.473115
1038.97,-1.498499
1048.96,-1.50591
1058.95,-1.530604
1068.94,-1.516613
1078.93,-1.537948
1088.92,-1.541607
1098.91,-1.573427
1108.9,-1.569341
1118.89,-1.578495
1128.88,-1.587632
1138.87,-1.607785
1148.86,-1.625919
1158.85,-1.61885
1168.84,-1.638752
1178.83,-1.644788
1188.82,-1.675263
1198.81,-1.668916
1208.8,-1.682188
1218.79,-1.697997
1228.78,-1.714244
1238.77,-1.728998
1248.76,-1.722027
1258.75,-1.75214
1268.74,-1.76086
1278.73,-1.775603
1288.72,-1.779458
1298.71,-1.793281
1308.7,-1.822806
1318.69,-1.81658
1328.68,-1.834437
1338.67,-1.8483
1348.66,-1.866566
1358.65,-1.877251
1368.64,-1.878279
1378.63,-1.91212
1388.62,-1.916728
1398.61,-1.922614
1408.6,-1.945606
1418.59,-1.957035
1428.58,-1.974979
1438.57,-1.977952
1448.56,-2.0001
1458.55,-2.02186
1468.54,-2.016507
1478.53,-2.043265
1488.52,-2.062086
1498.51,-2.063564
1508.5,-2.086211
1518.49,-2.101327
1528.48,-2.114108
1538.47,-2.128254
1548.46,-2.141408
1558.45,-2.164449
1568.44,-2.170792
